id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_wilayah,jumlah,satuan,bulan,tahun
158,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,563,ORANG,MARET,2022
159,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,74,ORANG,MARET,2022
160,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,89,ORANG,MARET,2022
161,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,45,ORANG,MARET,2022
162,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,50,ORANG,MARET,2022
163,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,275,ORANG,APRIL,2022
164,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,559,ORANG,APRIL,2022
165,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,68,ORANG,APRIL,2022
166,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,85,ORANG,APRIL,2022
167,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,49,ORANG,APRIL,2022
168,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,34,ORANG,APRIL,2022
169,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,355,ORANG,MEI,2022
170,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,628,ORANG,MEI,2022
171,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,61,ORANG,MEI,2022
172,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,56,ORANG,MEI,2022
173,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,48,ORANG,MEI,2022
174,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,57,ORANG,MEI,2022
175,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,429,ORANG,JUNI,2022
176,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,817,ORANG,JUNI,2022
177,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,91,ORANG,JUNI,2022
178,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,113,ORANG,JUNI,2022
